rank,string,count,frequency
460,不好,84,0.0004
461,计划,83,0.0004
462,力量,83,0.0004
463,喜欢,83,0.0004
464,很快,83,0.0004
465,车辆,82,0.0003
466,多家,82,0.0003
467,证明,82,0.0003
468,机构,82,0.0003
469,守护,81,0.0003
470,处于,81,0.0003
471,研判,81,0.0003
472,家人,81,0.0003
473,16,81,0.0003
474,上班,80,0.0003
475,包括,80,0.0003
476,日记,80,0.0003
477,身边,80,0.0003
478,一种,80,0.0003
479,直播,80,0.0003
480,食堂,80,0.0003
481,能力,80,0.0003
482,17,80,0.0003
483,共同,80,0.0003
484,市场,79,0.0003
485,不想,79,0.0003
486,刚刚,78,0.0003
487,凌晨,78,0.0003
488,郑州,78,0.0003
489,秩序,78,0.0003
490,一名,78,0.0003
491,必须,78,0.0003
492,分享,77,0.0003
493,买不到,77,0.0003
494,运行,77,0.0003
495,获悉,77,0.0003
496,辽宁,77,0.0003
497,是否,77,0.0003
498,随意,77,0.0003
499,南昌,76,0.0003
500,需求,76,0.0003
501,消杀,76,0.0003
502,每日,76,0.0003
503,根本,76,0.0003
504,青岛,76,0.0003
505,26,76,0.0003
506,陆续,75,0.0003
507,天津,75,0.0003
508,浙江,75,0.0003
509,提前,75,0.0003
510,长沙,75,0.0003
511,以后,75,0.0003
512,消防,75,0.0003
513,防范,75,0.0003
514,师范大学,75,0.0003
515,21,74,0.0003
516,主任,74,0.0003
517,下楼,74,0.0003
518,依然,74,0.0003
519,祭扫,74,0.0003
520,助力,74,0.0003
521,师生,74,0.0003
522,新一轮,74,0.0003
523,全民,74,0.0003
524,四月,73,0.0003
525,13,73,0.0003
526,应对,73,0.0003
527,基层,73,0.0003
528,流感,73,0.0003
529,越来越,73,0.0003
530,联系,72,0.0003
531,举行,72,0.0003
532,一句,72,0.0003
533,主动,72,0.0003
534,全力,72,0.0003
535,资源,72,0.0003
536,不行,72,0.0003
537,闵行,71,0.0003
538,江西,71,0.0003
539,期待,71,0.0003
540,附近,71,0.0003
541,泉州,71,0.0003
542,好像,71,0.0003
543,认为,71,0.0003
544,工业,71,0.0003
545,接种,71,0.0003
546,办公室,71,0.0003
547,00,70,0.0003
548,统一,70,0.0003
549,人数,70,0.0003
550,吃饭,70,0.0003
551,时期,70,0.0003
552,采取,70,0.0003
553,执行,70,0.0003
554,手机,69,0.0003
555,海口,69,0.0003
556,食物,69,0.0003
557,涉疫,69,0.0003
558,帮助,69,0.0003
559,接到,69,0.0003
560,研究,69,0.0003
